cusec,participacion,primero,primero_porc,segundo,segundo_porc,tercero,tercero_porc,cuarto,cuarto_porc,psoe_dif,pp_dif,podemos_dif,vox_dif
601503007,42.32,PP,32.5,VOX,23.93,PSOE,22.14,UxEx,17.14,-18.71,2.32,11.65,9.91
601503008,30.43,PSOE,43.73,VOX,28.13,PP,17.43,UxEx,07.03,-16.82,2.52,1.3,17.81
601503009,37.77,VOX,34.17,PP,30.42,PSOE,23.33,UxEx,7.92,-11.02,2.18,2.19,12.8
601503010,56.64,PP,45.14,VOX,21.71,PSOE,16.57,UxEx,12.19,-10.88,-2.9,6.63,13.38
601503011,35.27,PSOE,36.61,VOX,30.31,PP,25.98,UxEx,5.51,-13.95,0.7,1.86,18.51
601503012,62.27,PP,43.38,VOX,21.89,PSOE,15.33,UxEx,13.11,-10.6,-1.57,4.47,10.32
601503013,52.38,PP,39.73,VOX,24.37,PSOE,18.86,UxEx,10.85,-12.31,2.68,4.68,9.61
601504001,39.45,PSOE,34.24,VOX,27.31,PP,22.69,UxEx,11.13,-16.38,0.39,04.05,17.04
601504002,32.04,PSOE,30.15,VOX,28.96,PP,21.49,UxEx,10.15,-21.15,0.93,5.6,17.06
601504003,51.49,PP,39.2,VOX,22.07,PSOE,19.25,UxEx,11.97,-12.86,1.7,2.92,8.28
601504005,72.1,PP,60.94,VOX,19.04,PSOE,10.14,UxEx,7.54,-4.55,4.76,3.26,-0.18
601504006,70.39,PP,58.5,VOX,16.13,UxEx,11.34,PSOE,10.17,-8.55,3.13,4.44,3.39
601504007,60.3,PP,47.65,VOX,17.87,PSOE,17.59,UxEx,12.33,-12.26,4.28,4.8,7.92
601504009,49.34,PP,34.77,PSOE,31.14,VOX,18.86,UxEx,9.55,-11.95,0.75,3.78,9.17
601504010,55.91,PP,47.3,PSOE,18.63,VOX,15.44,UxEx,13.24,-6.99,-1.46,5.82,6
601504011,67.62,PP,62.8,VOX,15.45,PSOE,10.87,UxEx,7.73,-7.29,2.31,2.49,5.22
601504012,69.54,PP,56.86,VOX,16.08,UxEx,11.9,PSOE,10.2,-11.46,1.61,6.19,6.35
601504013,50.11,PP,42.42,VOX,25.38,PSOE,15.05,UxEx,12.09,-11.53,0.76,4.38,9.27
601504014,59.64,PP,48.41,VOX,19.88,PSOE,17.15,UxEx,8.5,-9.69,0.15,2.8,09.03
601504015,42.4,PSOE,41.48,VOX,28.41,PP,19.32,UxEx,7.1,-16.83,3.63,2.65,16
601504016,32.46,VOX,35.44,PSOE,34.18,PP,17.47,UxEx,7.85,-18.09,-1.46,2.92,18.67
601504017,54.84,PP,38.38,PSOE,22.81,VOX,21.75,UxEx,11.94,-17.83,4.98,4.9,11.49
601504018,68.39,PP,47.66,VOX,22.32,PSOE,13.27,UxEx,11.01,-11.91,02.02,3.28,10.02
601505001,78.02,PP,63.32,VOX,18.89,PSOE,7.34,UxEx,07.07,-7.91,1.74,2.97,3.35
601505003,75.47,PP,69.46,VOX,19.23,PSOE,4.3,UxEx,3.62,-5.74,0.93,2.95,4.72
601505004,72.67,PP,60.27,VOX,14.67,UxEx,13.09,PSOE,8.8,-9.34,0.31,9.11,3.39
601505005,75.25,PP,62.13,VOX,19.34,PSOE,8.69,UxEx,6.72,-9.26,3.64,3.19,5.24
601505006,67.38,PP,51.6,VOX,18.97,PSOE,14.04,UxEx,11.58,-9.27,2.69,5.18,3.27
601505011,71.54,PP,63.01,VOX,14.84,UxEx,9.59,PSOE,9.13,-6.88,1.39,4.11,3.22
601505012,72.49,PP,60.4,VOX,18.48,PSOE,11.8,UxEx,5.9,-6.87,2.87,1.53,05.08
601505013,64.96,PP,57.85,VOX,18.73,UxEx,10.74,PSOE,9.78,-9.39,-0.66,6.58,7
601505020,78.77,PP,69.43,VOX,17.83,UxEx,5.73,PSOE,4.46,-5.48,0.93,3.62,2.61
