RefCat,AnnoConstruccion,Direccion
1700308PD7010B,1989,CORAZON DE JESUS
1700309PD7010B,1960,CORAZON DE JESUS
1700310PD7010B,1979,CORAZON DE JESUS
1700311PD7010B,1961,CORAZON DE JESUS
1700312PD7010B,1961,CORAZON DE JESUS
1701601PD7010B,1998,CORAZON DE JESUS
1701603PD7010B,2002,CR OLIVENZA KM6
1701604PD7010B,0,CR OLIVENZA KM6
1701605PD7010B,1980,CR OLIVENZA KM6
1504801PD7010D,1987,CR OLIVENZA KM6
1504802PD7010D,1980,CORAZON DE JESUS
1504803PD7010D,1979,CORAZON DE JESUS
1504804PD7010D,1997,CORAZON DE JESUS
1504805PD7010D,1997,CR OLIVENZA KM6
1504807PD7010D,1982,CR OLIVENZA KM6
1504808PD7010D,1979,CR OLIVENZA KM6
1504809PD7010D,2002,CR OLIVENZA KM6
1703501PD7010D,1982,CR OLIVENZA KM6
1703502PD7010D,1982,CORAZON DE JESUS
3840709PD7034B,2000,LIMA
3840710PD7034B,2000,LIMA
3840711PD7034B,2000,LIMA
3840712PD7034B,2000,LIMA
3840713PD7034B,2000,LIMA
3840714PD7034B,2000,VENECIA
3840715PD7034B,2000,VENECIA
3840716PD7034B,2000,VENECIA
3840717PD7034B,2000,VENECIA
3840718PD7034B,2000,VENECIA
3840719PD7034B,2000,VENECIA
3840720PD7034B,2000,VENECIA
3840721PD7034B,2000,LA HABANA
3939620PD7033H,2000,VENECIA
3840722PD7034B,2000,LA HABANA
3840723PD7034B,2000,LA HABANA
3840724PD7034B,2000,LA HABANA
3840725PD7034B,2000,LA HABANA
3840726PD7034B,2000,LA HABANA
3840727PD7034B,2000,LIMA
3840728PD7034B,2000,LA HABANA
3940401PD7034B,2000,FLORENCIA
3940402PD7034B,2000,FLORENCIA
3940403PD7034B,2000,FLORENCIA
3940404PD7034B,2000,FLORENCIA
3940405PD7034B,2000,FLORENCIA
3940406PD7034B,2000,FLORENCIA
3940407PD7034B,2000,FLORENCIA
3940408PD7034B,2000,LIMA
3940409PD7034B,2000,LIMA
3940410PD7034B,2000,LIMA
2080202PC9928A,1971,MAYOR (ALVARADO)
2080601PC9928A,1971,MAYOR (ALVARADO)
2080602PC9928A,1971,MAYOR (ALVARADO)
2080603PC9928A,1971,CHOPO (ALVARADO)
2080604PC9928A,1971,CHOPO (ALVARADO)
2080605PC9928A,1971,CHOPO (ALVARADO)
2080606PC9928A,1971,CHOPO (ALVARADO)
2080607PC9928A,1971,CHOPO (ALVARADO)
2080612PC9928A,1971,CHOPO (ALVARADO)
2081701PC9928A,1971,ENCINA (ALVARADO)
2081702PC9928A,1971,ENCINA (ALVARADO)
2081703PC9928A,1971,OLIVO (ALVARADO)
2081704PC9928A,2000,OLIVO (ALVARADO)
2081705PC9928A,1971,ENCINA (ALVARADO)
2081706PC9928A,1971,ENCINA (ALVARADO)
2082004PC9928A,1971,OLMO (ALVARADO)
1703506PD7010D,1980,CR OLIVENZA KM6
1703507PD7010D,1984,CR OLIVENZA KM6
1703508PD7010D,0,CORAZON DE JESUS
1703509PD7010D,2000,CR OLIVENZA KM6
1703510PD7010D,1979,CR OLIVENZA KM6
1703512PD7010D,1980,CR OLIVENZA KM6
1703701PD7010D,1990,CORAZON DE JESUS
1703703PD7010D,1998,CR OLIVENZA KM6
1703704PD7010D,1995,CORAZON DE JESUS
1703708PD7010D,2008,CORAZON DE JESUS
1703711PD7010D,1980,CR OLIVENZA KM6
1706401PD7010F,1996,CR OLIVENZA KM6
1706402PD7010F,1980,CR OLIVENZA KM6
1706407PD7010F,1981,CR OLIVENZA KM6
3940411PD7034B,2000,LIMA
3859401PD7035H,1999,ELVAS
3958501PD7035H,2000,JULIO CIENFUEGO LINARES
3958502PD7035H,1998,JULIO CIENFUEGO LINARES
3556801PD7035N,0,SUB-CC-9.2-1
3556802PD7035N,0,SUB-CC-9.2-1
3940412PD7034B,2000,LIMA
3940413PD7034B,2000,LIMA
3940414PD7034B,2000,SEGOVIA
3940415PD7034B,2000,SEGOVIA
3940416PD7034B,2000,SEGOVIA
3940417PD7034B,2000,SEGOVIA
3940418PD7034B,2000,SEGOVIA
3940419PD7034B,2000,SEGOVIA
3940420PD7034B,2000,SEGOVIA
3940421PD7034B,2000,LA HABANA
3940422PD7034B,2000,LA HABANA
3940423PD7034B,2000,LA HABANA
3940424PD7034B,2000,LA HABANA
3940425PD7034B,2000,LA HABANA
3940426PD7034B,2000,LA HABANA
2082005PC9928A,1971,OLMO (ALVARADO)
2082006PC9928A,1971,OLMO (ALVARADO)
2082201PC9928A,1988,OLMO (ALVARADO)
2082202PC9928A,1988,OLMO (ALVARADO)
2082203PC9928A,1988,OLMO (ALVARADO)
2082204PC9928A,1988,OLMO (ALVARADO)
2082205PC9928A,1988,OLMO (ALVARADO)
2082601PC9928A,1971,ENCINA (ALVARADO)
2082602PC9928A,1971,ENCINA (ALVARADO)
2082603PC9928A,1971,ENCINA (ALVARADO)
2082604PC9928A,1971,ENCINA (ALVARADO)
2082605PC9928A,1971,ENCINA (ALVARADO)
2180801PC9928A,1971,MAYOR (ALVARADO)
1706408PD7010F,1979,CR OLIVENZA KM6
1706409PD7010F,1981,CR OLIVENZA KM6
1905601PD7010F,1995,CR OLIVENZA KM6
1905602PD7010F,1985,CR OLIVENZA KM6
1905604PD7010F,1980,CR OLIVENZA KM6
1905605PD7010F,1995,CR OLIVENZA KM6
1056904PD7015E,1990,ELVAS
3939621PD7033H,2000,PANAMA
3939622PD7033H,2000,PANAMA
3939623PD7033H,2000,PANAMA
3939624PD7033H,2000,PANAMA
3939625PD7033H,2000,PANAMA
3939626PD7033H,2000,PANAMA
3939627PD7033H,2000,AVILA
3939628PD7033H,2000,PANAMA
3840701PD7034B,2000,SEGOVIA
