RefCat,AnnoConstruccion
6258612PD7065G,1900
6258618PD7065G,1900
6258623PD7065G,1900
7046530PD7074E,1900
7352552PD7075A,1900
7454611PD7075C,1900
7257101PD7075E,1900
7257102PD7075E,1900
7557627PD7075E,1900
7253801PD7075C,1900
7451604PD7075A,1900
7254608PD7075C,1900
7258005PD7075G,1900
7258012PD7075G,1900
7258013PD7075G,1900
7258014PD7075G,1900
7258015PD7075G,1900
7258016PD7075G,1900
7251520PD7075A,1900
7258017PD7075G,1900
7258018PD7075G,1900
7258021PD7075G,1900
7453625PD7075C,1900
7551713PD7075B,1900
7255402PD7075E,1900
7255404PD7075E,1900
7558826PD7075H,1900
7259380PD7075G,1900
7255815PD7075E,1900
7457816PD7075E,1900
7454601PD7075C,1900
7458313PD7075G,1900
5948608PD7054H,1900
5957521PD7055F,1900
6453528PD7065C,1900
5267301PD7056E,1900
6156209PD7065E,1900
6453123PD7065C,1900
5574020PD7057D,1900
6553325PD7065D,1900
6553324PD7065D,1900
6258213PD7065G,1900
5661732PD7056B,1900
5661749PD7056B,1900
5661729PD7056B,1900
5661728PD7056B,1900
5661726PD7056B,1900
5661725PD7056B,1900
5661724PD7056B,1900
5661723PD7056B,1900
5661722PD7056B,1900
5661746PD7056B,1900
5661720PD7056B,1900
5661719PD7056B,1900
5661716PD7056B,1900
5661715PD7056B,1900
5462311PD7056A,1900
5462306PD7056A,1900
6555224PD7065F,1900
6453510PD7065C,1900
6453509PD7065C,1900
6357523PD7065E,1900
6555229PD7065F,1900
6152502PD7065A,1900
6457523PD7065E,1900
6457526PD7065E,1900
6656523PD7065F,1900
6355102PD7065E,1900
6358507PD7065G,1900
6457518PD7065E,1900
6457821PD7065E,1900
6159225PD7065G,1900
6353217PD7065C,1900
5547513PD7054F,1901
6557505PD7065E,1901
6160412PD7066A,1901
7558828PD7075H,1901
5956605PD7055F,1902
5956619PD7055F,1902
5956620PD7055F,1902
6656512PD7065F,1902
6556344PD7065F,1902
6556711PD7065F,1902
6258127PD7065G,1902
5957848PD7055F,1903
6553314PD7065D,1903
6557516PD7065E,1903
6556330PD7065F,1903
5956035PD7055F,1904
6353811PD7065C,1904
6556716PD7065F,1904
6557517PD7065E,1904
6855409PD7065F,1904
6855430PD7065F,1904
6957306PD7065F,1904
6957311PD7065F,1904
7259383PD7075G,1904
5956031PD7055F,1905
5956033PD7055F,1905
5574040PD7057D,1905
5574201PD7057D,1905
5574202PD7057D,1905
5574203PD7057D,1905
5574204PD7057D,1905
5574205PD7057D,1905
5574206PD7057D,1905
5574207PD7057D,1905
5574208PD7057D,1905
6557502PD7065E,1905
6557510PD7065E,1905
6855413PD7065F,1905
5270033PD7057A,1906
6256116PD7065E,1906
6556320PD7065F,1906
6556714PD7065F,1906
6155701PD7065E,1906
6557515PD7065E,1907
6557518PD7065E,1907
6855410PD7065F,1907
6256114PD7065E,1907
5270032PD7057A,1908
6556717PD7065F,1908
6855406PD7065F,1908
5661718PD7056B,1908
5856226PD7055F,1910
5956024PD7055F,1910
5574002PD7057D,1910
5372301PD7057A,1910
5372305PD7057A,1910
5372308PD7057A,1910
5574005PD7057D,1910
5574006PD7057D,1910
5574007PD7057D,1910
5574008PD7057D,1910
5574009PD7057D,1910
5574010PD7057D,1910
5574011PD7057D,1910
5574013PD7057D,1910
5574016PD7057D,1910
5574017PD7057D,1910
5574018PD7057D,1910
5574019PD7057D,1910
5372312PD7057A,1910
5372316PD7057A,1910
5372309PD7057A,1910
5372310PD7057A,1910
5372318PD7057A,1910
5372319PD7057A,1910
5372321PD7057A,1910
5372322PD7057A,1910
5372323PD7057A,1910
5574023PD7057D,1910
5574026PD7057D,1910
5574028PD7057D,1910
5574029PD7057D,1910
5574030PD7057D,1910
5574031PD7057D,1910
5574032PD7057D,1910
5574034PD7057D,1910
5574036PD7057D,1910
5372327PD7057A,1910
5372328PD7057A,1910
5372329PD7057A,1910
5372334PD7057A,1910
5574037PD7057D,1910
5574038PD7057D,1910
5574039PD7057D,1910
5574046PD7057D,1910
5957842PD7055F,1910
5372373PD7057A,1910
5372374PD7057A,1910
5372375PD7057A,1910
5372376PD7057A,1910
5372379PD7057A,1910
5372380PD7057A,1910
5372382PD7057A,1910
5372383PD7057A,1910
5372385PD7057A,1910
5270016PD7057A,1910
5372386PD7057A,1910
5372387PD7057A,1910
5372388PD7057A,1910
5372389PD7057A,1910
5372390PD7057A,1910
5372337PD7057C,1910
5372342PD7057C,1910
5575505PD7057F,1910
5575506PD7057F,1910
6253105PD7065C,1910
6253506PD7065C,1910
6353412PD7065C,1910
6353602PD7065C,1910
6354702PD7065C,1910
6051806PD7065A,1910
6657618PD7065F,1910
6159510PD7065G,1910
6557513PD7065E,1910
6855401PD7065F,1910
6855403PD7065F,1910
6256118PD7065E,1910
6555206PD7065F,1910
6555210PD7065F,1910
6555213PD7065F,1910
6555222PD7065F,1910
6555223PD7065F,1910
6355108PD7065E,1910
6355117PD7065E,1910
6056215PD7065E,1910
6056504PD7065E,1910
6056507PD7065E,1910
6556326PD7065F,1910
6155704PD7065E,1910
6556708PD7065F,1910
6160414PD7066A,1910
7258136PD7075G,1910
5956022PD7055F,1910
5574021PD7057D,1910
6555227PD7065F,1910
5574015PD7057D,1910
5372330PD7057A,1911
5372333PD7057A,1911
5372335PD7057A,1911
5270013PD7057A,1911
5372336PD7057C,1911
5372338PD7057C,1911
5372339PD7057C,1911
5372340PD7057C,1911
5856217PD7055F,1912
5372302PD7057A,1912
5270003PD7057A,1912
5270014PD7057A,1912
5270015PD7057A,1912
6855416PD7065F,1912
9050239PD7095A,1912
6855411PD7065F,1913
6855415PD7065F,1913
5171515PD7057A,1914
5171517PD7057A,1914
5171518PD7057A,1914
5270004PD7057A,1914
5270006PD7057A,1914
5270010PD7057A,1914
5270017PD7057A,1914
5270019PD7057A,1914
5270020PD7057A,1914
5270021PD7057A,1914
6656507PD7065F,1914
6157714PD7065E,1914
6556314PD7065F,1914
6556315PD7065F,1914
6556319PD7065F,1914
6556704PD7065F,1914
6556705PD7065F,1914
6253503PD7065C,1915
6452002PD7065A,1915
6051802PD7065A,1915
6051807PD7065A,1915
4362220PD7046A,1915
4362264PD7046A,1915
4362220PD7046A,1915
5270001PD7057A,1916
5270011PD7057A,1916
5268201PD7056G,1916
5268202PD7056G,1916
5268203PD7056G,1916
5268204PD7056G,1916
5268205PD7056G,1916
5268206PD7056G,1916
5268207PD7056G,1916
5268208PD7056G,1916
5268209PD7056G,1916
6855407PD7065F,1916
5270008PD7057A,1917
5270009PD7057A,1917
5366513PD7056E,1917
5171510PD7057A,1918
5270005PD7057A,1918
5270022PD7057A,1918
6556702PD7065F,1918
7457813PD7075E,1918
5270007PD7057A,1919
7058234PD7075G,1919
4658948PD7045N,1920
5952205PD7055B,1920
5956003PD7055F,1920
5856203PD7055F,1920
4677006PD7047F,1920
5956037PD7055F,1920
5574003PD7057D,1920
5168603PD7056G,1920
6253505PD7065C,1920
6253507PD7065C,1920
6353416PD7065C,1920
6353613PD7065C,1920
6354703PD7065C,1920
6354704PD7065C,1920
6843523PD7064D,1920
6051808PD7065A,1920
6557301PD7065F,1920
6557302PD7065F,1920
6557303PD7065F,1920
6557304PD7065F,1920
6557309PD7065F,1920
6557308PD7065E,1920
6557314PD7065E,1920
6557317PD7065F,1920
6557319PD7065F,1920
6557321PD7065F,1920
6557322PD7065F,1920
6557323PD7065F,1920
6557315PD7065F,1920
6657612PD7065F,1920
6657614PD7065F,1920
6255706PD7065E,1920
6955001PD7065F,1920
6955002PD7065F,1920
6955004PD7065F,1920
6955005PD7065F,1920
6955006PD7065F,1920
6955011PD7065F,1920
6955015PD7065F,1920
6059703PD7065G,1920
6059706PD7065G,1920
6557325PD7065F,1920
6557326PD7065F,1920
6557327PD7065F,1920
6557328PD7065F,1920
6955023PD7065F,1920
6955025PD7065F,1920
6055804PD7065E,1920
6257306PD7065E,1920
6456701PD7065E,1920
6456702PD7065E,1920
6456706PD7065E,1920
6556304PD7065F,1920
6059708PD7065G,1920
6059709PD7065G,1920
6059711PD7065G,1920
6059712PD7065G,1920
6059716PD7065G,1920
6059717PD7065G,1920
6059718PD7065G,1920
6059719PD7065G,1920
6059721PD7065G,1920
6059722PD7065G,1920
6059724PD7065G,1920
6059725PD7065G,1920
6059702PD7065G,1920
6059701PD7065G,1920
6357522PD7065E,1920
6556605PD7065F,1920
6957101PD7065G,1920
6160401PD7066A,1920
6160402PD7066A,1920
6167601PD7066E,1920
6258604PD7065G,1920
6258606PD7065G,1920
7257413PD7075E,1920
7557626PD7075E,1920
7258104PD7075G,1920
7258115PD7075G,1920
7258120PD7075G,1920
7258130PD7075G,1920
7258131PD7075G,1920
7258138PD7075G,1920
7258141PD7075G,1920
7258146PD7075G,1920
7654156PD7075D,1920
7457110PD7075E,1920
7056002PD7075E,1920
7057002PD7075E,1920
7057004PD7075E,1920
7057005PD7075E,1920
7057006PD7075E,1920
7057007PD7075E,1920
7557618PD7075E,1920
5171516PD7057A,1921
5270024PD7057A,1921
5171512PD7057A,1922
6556325PD7065F,1922
7459601PD7075G,1922
5757113PD7055D,1923
5270002PD7057A,1923
5270027PD7057A,1923
6955003PD7065F,1923
6957144PD7065F,1923
6957145PD7065F,1923
6957102PD7065G,1923
7558825PD7075H,1923
5757102PD7055D,1924
5171513PD7057A,1924
5270023PD7057A,1924
6553505PD7065D,1924
6955016PD7065F,1924
6055802PD7065E,1924
6556309PD7065F,1924
6556701PD7065F,1924
7358706PD7075G,1924
7358713PD7075G,1924
7058419PD7075G,1924
7459648PD7075G,1924
7459649PD7075G,1924
7259302PD7075G,1924
7259337PD7075G,1924
7259339PD7075G,1924
5171511PD7057A,1925
6353802PD7065C,1925
6855405PD7065F,1925
6957135PD7065F,1925
6155406PD7065E,1925
6155408PD7065E,1925
6357513PD7065E,1925
6357517PD7065E,1925
6156310PD7065E,1925
7157604PD7075E,1925
7259301PD7075G,1925
7259304PD7075G,1925
7259375PD7075G,1925
7259397PD7075G,1925
7358306PD7075G,1925
7358319PD7075G,1925
6357514PD7065E,1925
5171506PD7057A,1926
5171514PD7057A,1926
6957146PD7065F,1926
6556312PD7065F,1926
7459634PD7075G,1926
4362209PD7046C,1927
7459606PD7075G,1927
7459607PD7075G,1927
7654154PD7075D,1927
7456809PD7075E,1927
7456810PD7075E,1927
5951201PD7055B,1928
5372311PD7057A,1928
5372314PD7057A,1928
6154107PD7065C,1928
6159256PD7065G,1928
6957132PD7065F,1928
6957104PD7065G,1928
7156707PD7075E,1928
7156708PD7075E,1928
7258034PD7075G,1928
7157601PD7075E,1928
7654153PD7075D,1928
7457818PD7075E,1928
5171504PD7057A,1929
5270028PD7057A,1929
5272240PD7057A,1929
5369025PD7056G,1929
6056204PD7065E,1929
6155418PD7065E,1929
6957105PD7065G,1929
6957108PD7065G,1929
6957160PD7065G,1929
7358714PD7075G,1929
7057413PD7075E,1929
7557634PD7075E,1929
7356412PD7075E,1929
7356426PD7075E,1929
7258036PD7075G,1929
7457803PD7075E,1929
7457807PD7075E,1929
5061103PD7056A,1929
5757109PD7055D,1930
5852806PD7055B,1930
5852807PD7055B,1930
5573208PD7057D,1930
5573209PD7057D,1930
5573212PD7057D,1930
5773239PD7057D,1930
5369535PD7056G,1930
5573245PD7057D,1930
5956023PD7055F,1930
5573254PD7057D,1930
5573264PD7057D,1930
5573269PD7057D,1930
5468135PD7056G,1930
5574012PD7057D,1930
5574022PD7057D,1930
5969004PD7056H,1930
5969005PD7056H,1930
5969007PD7056H,1930
5269214PD7056G,1930
5272223PD7057A,1930
5674224PD7057D,1930
5674226PD7057D,1930
5674227PD7057D,1930
5674229PD7057D,1930
5269219PD7056G,1930
5372811PD7057C,1930
5674246PD7057D,1930
5369016PD7056G,1930
5372812PD7057C,1930
5372814PD7057C,1930
5372815PD7057C,1930
5372816PD7057C,1930
5773201PD7057D,1930
5773206PD7057D,1930
5369508PD7056G,1930
5372833PD7057C,1930
5372834PD7057C,1930
5372840PD7057C,1930
5773207PD7057D,1930
5773208PD7057D,1930
6548008PD7064H,1930
6352023PD7065A,1930
6353206PD7065C,1930
6544005PD7064D,1930
6347502PD7064E,1930
6453111PD7065C,1930
6453115PD7065C,1930
6453116PD7065C,1930
6453118PD7065C,1930
6453121PD7065C,1930
6453122PD7065C,1930
6948844PD7064H,1930
6157713PD7065E,1930
6455702PD7065E,1930
6855402PD7065F,1930
6855412PD7065F,1930
6955018PD7065F,1930
6956303PD7065F,1930
6957119PD7065F,1930
6957120PD7065F,1930
6957126PD7065F,1930
6957133PD7065F,1930
6055814PD7065E,1930
6058208PD7065G,1930
6355601PD7065E,1930
6556103PD7065F,1930
6357508PD7065E,1930
6357512PD7065E,1930
6957109PD7065G,1930
6957116PD7065G,1930
6957117PD7065G,1930
6957118PD7065G,1930
6558801PD7065H,1930
6859304PD7065H,1930
6859315PD7065H,1930
6859316PD7065H,1930
6859324PD7065H,1930
6159529PD7065G,1930
6258109PD7065G,1930
6258111PD7065G,1930
6258211PD7065G,1930
6258217PD7065G,1930
7057403PD7075E,1930
7256023PD7075E,1930
7557621PD7075E,1930
7058439PD7075G,1930
7054209PD7075C,1930
7356803PD7075E,1930
7356805PD7075E,1930
7356806PD7075E,1930
7459611PD7075G,1930
7459613PD7075G,1930
7654101PD7075D,1930
7654102PD7075D,1930
7654103PD7075D,1930
7156706PD7075E,1930
7156715PD7075E,1930
7655105PD7075F,1930
7459616PD7075G,1930
7459619PD7075G,1930
7459628PD7075G,1930
7654106PD7075D,1930
7654107PD7075D,1930
7654104PD7075D,1930
7654116PD7075D,1930
7654117PD7075D,1930
7655613PD7075F,1930
7655614PD7075F,1930
7655616PD7075F,1930
7655617PD7075F,1930
7258101PD7075G,1930
7258102PD7075G,1930
7258103PD7075G,1930
7258105PD7075G,1930
7556528PD7075F,1930
7258111PD7075G,1930
7258112PD7075G,1930
7258119PD7075G,1930
7258124PD7075G,1930
7258125PD7075G,1930
7654123PD7075D,1930
7654126PD7075D,1930
7654128PD7075D,1930
7654133PD7075D,1930
7654135PD7075D,1930
7157411PD7075E,1930
7258133PD7075G,1930
7258135PD7075G,1930
7258140PD7075G,1930
7258143PD7075G,1930
7351029PD7075A,1930
7654144PD7075D,1930
7654148PD7075D,1930
7654149PD7075D,1930
7654150PD7075D,1930
7654151PD7075D,1930
7654152PD7075D,1930
7654155PD7075D,1930
7654159PD7075D,1930
7654162PD7075D,1930
7457101PD7075E,1930
7457102PD7075E,1930
7259361PD7075G,1930
7259372PD7075G,1930
7457109PD7075E,1930
7457115PD7075E,1930
7457202PD7075E,1930
7457205PD7075E,1930
7457209PD7075E,1930
7754232PD7075D,1930
7256003PD7075E,1930
7457211PD7075E,1930
7457805PD7075E,1930
7457806PD7075E,1930
7457809PD7075E,1930
7457810PD7075E,1930
7457811PD7075E,1930
7457812PD7075E,1930
7358321PD7075G,1930
7557604PD7075E,1930
5968301PD7056H,1930
5968302PD7056H,1930
5968303PD7056H,1930
5968305PD7056H,1930
5968308PD7056H,1930
7557605PD7075E,1930
7457207PD7075E,1930
5372849PD7057A,1930
6955019PD7065F,1930
7457118PD7075E,1930
7457104PD7075E,1930
5968309PD7056H,1930
7258122PD7075G,1930
7654158PD7075D,1930
7654166PD7075D,1930
7654167PD7075D,1930
7257613PD7075E,1930
7257614PD7075E,1930
5171505PD7057A,1931
5270026PD7057A,1931
5269210PD7056G,1931
5269211PD7056G,1931
5369010PD7056G,1931
5369017PD7056G,1931
5369018PD7056G,1931
5369020PD7056G,1931
5369502PD7056G,1931
6957103PD7065G,1931
6957159PD7065G,1931
6258218PD7065G,1931
7358327PD7075G,1931
7459632PD7075G,1931
7654113PD7075D,1931
7257601PD7075E,1931
5773237PD7057D,1932
5371403PD7057A,1932
5269212PD7056G,1932
5369006PD7056G,1932
5369007PD7056G,1932
5369013PD7056G,1932
5369029PD7056G,1932
5369505PD7056G,1932
6449607PD7064G,1932
6957111PD7065G,1932
6258219PD7065G,1932
7358326PD7075G,1932
7557629PD7075E,1932
7356801PD7075E,1932
7356807PD7075E,1932
7356808PD7075E,1932
7356812PD7075E,1932
7654112PD7075D,1932
6556338PD7065F,1932
5269220PD7056G,1933
5369002PD7056G,1933
5369023PD7056G,1933
6449605PD7064G,1933
6449606PD7064G,1933
6449615PD7064G,1933
6647731PD7064F,1933
6957122PD7065F,1933
6957123PD7065F,1933
6957112PD7065G,1933
6957115PD7065G,1933
6957161PD7065G,1933
6258110PD7065G,1933
7356204PD7075E,1933
